id,type,category,meaning
000,glyph,number,0
001,glyph,number,1
002,glyph,number,2
003,glyph,number,3
004,glyph,number,4
005,glyph,number,5
006,glyph,number,6
007,glyph,number,7
008,glyph,number,8
009,glyph,number,9
010,glyph,units,joule
011,glyph,units,kelvin
012,glyph,units,kilogram
013,glyph,units,meter
014,glyph,units,newton
015,glyph,units,pascal
016,glyph,units,second
017,glyph,units,watt
018,glyph,units,year
019,glyph,units,hertz
020,glyph,chemical-elements,aluminum
021,glyph,chemical-elements,argon
022,glyph,chemical-elements,carbon
023,glyph,chemical-elements,chlorine
024,glyph,chemical-elements,gold
025,glyph,chemical-elements,hydrogen
026,glyph,chemical-elements,iron
027,glyph,chemical-elements,nitrogen
028,glyph,chemical-elements,oxygen
029,glyph,chemical-elements,silicon
030,glyph,chemical-elements,silver
031,glyph,chemical-elements,sodium
032,glyph,chemical-elements,sulfur
033,glyph,chemical-elements,uranium
034,glyph,chemical-elements,zinc
035,glyph,chemical-elements,e114
036,glyph,chemical-elements,helium
037,glyph,mathematics,equal
038,glyph,mathematics,mathematics
039,glyph,mathematics,minus
040,glyph,mathematics,multiplication
041,glyph,mathematics,negation
042,glyph,mathematics,pi
043,glyph,mathematics,plus
044,glyph,mathematics,power
045,glyph,mathematics,radius
046,glyph,mathematics,undetermined
047,glyph,mathematics,division
048,glyph,mathematics,dot
049,glyph,physical-concepts,acceleration
050,glyph,physical-concepts,charg
051,glyph,physical-concepts,electron
052,glyph,physical-concepts,energy
053,glyph,physical-concepts,force
054,glyph,physical-concepts,frequency
055,glyph,physical-concepts,gravity
056,glyph,physical-concepts,length
057,glyph,physical-concepts,mass
058,glyph,physical-concepts,neutron
059,glyph,physical-concepts,photon
060,glyph,physical-concepts,physics
061,glyph,physical-concepts,pressure
062,glyph,physical-concepts,proton
063,glyph,physical-concepts,density
064,glyph,physical-concepts,velocity
065,glyph,physical-concepts,temperature
066,glyph,physical-concepts,time
067,glyph,physical-concepts,wavelength
068,glyph,physical-concepts,distance
069,glyph,physical-concepts,Hubble-constant
070,glyph,biological,adenosine
071,glyph,biological,cell
072,glyph,biological,cytidine
073,glyph,biological,female
074,glyph,biological,male
075,glyph,biological,thymidine
076,glyph,biological,guanosine
077,glyph,astronomy,Jupiter
078,glyph,astronomy,Moon
079,glyph,astronomy,Sun
080,glyph,astronomy,Earth
081,glyph,others,age
082,glyph,others,delta
083,glyph,others,extraterrestrial
084,glyph,others,etc.
085,glyph,others,land
086,glyph,others,ocean
087,glyph,others,question
088,glyph,others,sky
089,glyph,others,variable-a
090,glyph,others,variable-b
091,glyph,others,variable-c
092,image,section,numbers
093,image,section,mathematical-operators-part-1
094,image,section,mathematical-operators-part-2
095,image,section,operators-and-primes
096,image,section,notion-of-geometry
097,image,section,notion-of-questions
098,image,section,hydrogen-and-helium
099,image,section,chemical-elements
100,image,section,mass
101,image,section,spectrum-of-hydrogen
102,image,section,units-of-measurement
103,image,section,temperature
104,image,section,solar-system
105,image,section,Earth-and-Moon
106,image,section,humans
107,image,section,DNA
108,image,section,cell
109,image,section,lands-and-oceans-part-1
110,image,section,lands-and-oceans-part-2
111,image,section,lands-and-oceans-part-3
112,image,section,cosmology
113,image,section,questions